project_id,project_name,sector,implementing_agency,state,original_cost,revised_cost,expenditure,expenditure_change_recent,physical_progress,progress_change_recent,original_duration_months,months_elapsed,current_delay_months,overdue_milestones,days_since_last_cuf_update,clearance_pending_days,active_litigation,reasons_for_delay
MOSPI_617925,Construction of Bypass to Khordha town from Km 294/000 to 300/300 on NH-57 including LA in the State of Odisha on EPC mode.,Roads & Highways,MoRTH,,157.0,157.0,33.69,0.02,92.0,0.0,32.8,55.2,21.9,1,15,0,False,
MOSPI_617989,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,Roads & Highways,MoRTH,,157.0,187.61,103.33,0.0,68.0,-1.0,32.1,90.3,52.8,1,15,0,False,
MOSPI_709754,"Construction of LPG Facilities at Kamardanga, Assam",Power,Hindustan Petroleum Corporation Limited,,156.0,156.36,114.1,4.76,84.0,4.0,51.1,41.6,0.0,0,15,0,False,
MOSPI_617923,Construction of  Daspalla Bypass from km 195.250 To 200.635 of NH-57 including land acquisition in the state of Odisha on EPC mode under Annual Plan 2022-23.,Roads & Highways,MoRTH,,156.0,156.0,53.05,3.01,25.0,0.0,50.5,42.5,0.0,0,15,0,False,
MOSPI_617931,Construction of ROB and its approaches in lieu of  LC No. 10/B/T at Km 307.050 of NH-60.,Roads & Highways,MoRTH,,156.0,138.57,20.6,20.6,17.0,0.0,113.1,126.4,26.8,1,15,0,False,
MOSPI_618117,Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.,Roads & Highways,MoRTH,,155.0,155.0,15.13,0.33,23.0,0.0,27.2,30.8,3.0,0,15,0,False,
MOSPI_635651,"New Product Testing Laboratory for NPM, SPP & NHSM at RSP",Steel,Steel Authority of India Limited (SAIL),,155.0,155.0,56.24,0.0,72.0,0.0,26.8,15.3,0.0,0,15,0,False,
MOSPI_616604,Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town  Interception & Diversion with STP,Water Resources,National Mission for Clean Ganga,,155.0,155.0,102.04,5.87,94.0,2.0,82.7,100.2,17.0,1,15,0,False,
MOSPI_606112,Tezpur University Projects,Education,Tezpur University,,154.0,154.0,288.87,22.73,93.0,-5.0,53.4,87.6,21.7,1,15,0,False,
MOSPI_616697,3rd & 4 th line Vadlapudi-Gate Jn. incl. tie line between Gangavaram Port-Visakhapatnam Steel Plant12.04 km PB73/2023-24/NR,Railways,CAO/C/SCoR SCoR mor,,154.0,154.0,89.67,20.08,87.0,7.0,38.6,41.2,0.0,0,15,0,False,
MOSPI_618908,3L Major Bridge over River Brahmani at Km. 401.250 Duburi - Chandikhole Section of NH-200 New NH -53,Roads & Highways,NHAI,,154.0,103.68,73.76,0.17,38.0,0.0,33.5,53.0,31.9,1,15,0,False,
MOSPI_618003,Construction of four lane ROB and its approaches in lieu of existing Level Crossing No. RV-71 at km 435 on NH-217 New NH-353 at Khariar including land acquisition under NHO in Annual Plan 2021-22 for the state of Odisha for F.Y. 2021-22 to F.Y 2033-34,Roads & Highways,MoRTH,,154.0,154.0,25.17,0.0,90.0,0.0,37.4,58.0,19.1,1,15,0,False,
